*sheet 1
60-4503 3 0.38
60-4505 47 0.53
60-4531 7 2.40
60-4596 41 0.39
60-4601 16 0.41
60-4622 3 1.10
60-4628 20 0.30
*sheet 35
60-7055 39 3.12
60-7059 2 4.80
60-7091 2 17.00
60-7102 13 1.78
60-7132 11 0.29
60-7149 2 5.45
60-7054 538 2.74
60-7156 1 18.90
60-7158 1 2.88
60-7163 1 71.30
60-7164 2 17.40
60-7210 7 5.15
60-7215 2 3.94
60-7240 31 11.76
60-7269 42 0.58
60-7271 2 11.32
60-7296 1 82.81
60-7333 6 4.85
60-7335 8 0.80
60-7336 1 1.20
60-7362 1 24.50
60-7363 10 0.86
60-7377 100 0.06
60-7463 1 21.60
60-7503 2 11.92
60-7557 5 0.81
60-7632 1 0.96
60-7207 22 0.22
*sheet 36
60-7462 1 28.00
60-7417 8 0.04
60-7379 14 0.45
61-6020 2 14.28
61-6021 2 19.38
61-6117 2 10.15
61-6121 2 8.72
61-6135 2 3.61
61-7012 14 2.18
61-7014 3 1.57
61-8001 2 1.43
62-0006 3 1.86
62-0013 16 0.22
62-0020 5 13.22
62-0028 4 12.98
62-0029 4 12.98
62-0048 2 43.40
62-0050 4 2.20
62-0055 1 16.93
62-0057 1 18.94
62-0072 16 0.17
62-0068 23 0.65
62-0069 20 0.38
62-0080 1 58.76
62-0084 2 3.00
70-0004 6 6.68
70-0000 5 6.68
70-0375 1 2.04
*sheet 37
70-0378 5 6.10
70-0397 2 22.08
70-0400 1 1.86
70-0403 32 0.18
70-0414 2 13.20
70-0470 8 0.34
70-0487 6 0.48
70-0487 11 0.89
70-0495 1 4.40
70-0529 5 4.50
70-0984 12 1.07
70-1310 7 0.58
70-1330 8 0.17
70-1435 7 0.97
70-1465 20 0.05
70-1477 7 11.76
70-1484 30 3.17
70-1487 12 0.96
70-1488 8 0.46
70-1512 1 14.03
70-1513 2 1.03
70-1523 7 0.35
70-1529 1 0.32
70-1545 22 0.67
70-1558 8 1.01
70-1564 1 2.27
70-1574 500 0.21
70-1577 33 0.17
70-1580 104 0.87
70-1596 3 3.84
70-1601 19 1.07
*sheet 38
70-1612 6 0.07
70-1762 3 4.56
70-2287 95 0.10
70-2288 22 0.10
70-2412 30 0.58
70-2256 20 1.07
70-2441 17 0.07
70-2534 24 0.19
70-2728 50 0.19
70-2767 4 1.07
70-2794 10 3.90
70-2873 13 2.17
70-2888 34 0.72
70-2894 1 2.40
70-2922 5 0.78
70-2982 5 1.16
70-3059 2 19.14
70-3108 3 17.00
70-3114 2 0.89
70-3208 2 3.84
70-3209 32 0.67
70-3224 44 0.35
70-3253 15 0.23
70-3300 1 0.48
70-3302 5 0.10
70-3309 8 0.35
70-3362 2 6.00
70-3411 1 25.50
70-3446 149 0.10
*sheet 39
70-3547 25 0.29
70-3550 5 14.00
70-3552 19 0.56
70-3614 3 3.06
70-3668 16 0.27
70-3646 2 7.51
70-3706 3 15.00
70-3716 4 0.96
70-3723 40 0.03
70-3724 4 0.18
70-3728 3 0.37
70-3730 9 0.10
70-3734 2 18.25
70-3738 4 8.00
70-3739 3 8.00
70-3736 3 10.80
70-3742 10 1.08
70-3748 8 13.18
70-3749 6 14.04
70-3750 6 14.04
70-3751 27 0.11
70-3759 1 3.84
70-3763 2 0.20
70-3789 4 8.78
70-3794 5 2.86
70-3795 6 3.20
70-3798 4 0.70
70-3804 8 0.82
*sheet 40
70-3809 2 1.61
70-3812 9 1.10
70-3822 12 2.16
70-3832 5 0.46
70-3833 26 2.60
70-3887 18 0.16
70-3902 5 0.26
70-3903 2 4.64
70-3927 2 9.12
70-3974 1 0.53
70-3999 2 4.60
70-4008 18 2.80
70-4012 53 7.80
70-4013 24 7.80
70-4015 4 3.40
70-4023 2 28.80
70-4148 1 1.66
70-4149 4 4.30
70-4156 4 1.56
70-4201 10 0.34
70-4322 19 12.60
70-4456 12 3.48
70-4536 1 4.56
70-4537 8 4.56
70-4538 3 13.20
70-4547 7 3.52
70-4550 1 24.40
*sheet 41
70-4551 2 24.40
70-4562 3 22.32
70-4564 5 11.76
70-4565 29 1.34
70-4609 49 0.45
70-4675 1 2.80
70-4678 2 24.00
70-4700 4 0.44
70-4705 1 0.34
70-4707 58 0.34
70-4711 4 0.62
70-4771 4 1.97
70-4912 1 1.26
70-4947 6 6.90
